,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,114.0,151.0,225.5,0.0,20.5,93.5,98.5,197.0,96.5,0.0
critterding.csv,99.0,91.5,471.5,197.5,296.5,99.0,98.5,99.0,96.5,290.5
enlightenment.csv,99.0,195.0,951.5,296.5,296.5,99.0,98.5,99.0,98.5,193.0
exordium.csv,399.5,97.5,90.5,98.5,296.5,99.0,174.0,98.5,91.5,81.5
google-caja.csv,99.0,283.5,282.5,198.0,296.5,99.0,90.5,99.0,98.5,95.5
itext.csv,99.0,283.5,665.0,297.0,1078.0,99.0,98.5,99.0,98.5,95.5
lockss.csv,98.5,91.5,186.0,198.0,94.5,99.0,98.5,98.5,91.5,95.5
modplug.csv,99.0,97.5,667.0,198.0,296.5,99.0,98.5,99.0,98.5,194.0
reactos-mirror.csv,99.0,97.5,951.5,198.0,524.0,99.0,98.5,92.5,98.5,193.0
yafdotnet.csv,583.0,283.5,183.0,99.0,296.5,99.0,77.5,99.0,96.5,95.5
