,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.67,0.67,0.8,0.8,0.75,0.75,0.8,0.79,0.89,0.0
coot.csv,0.35,0.82,0.49,0.8,0.67,0.48,0.58,0.42,0.5,0.44
haggle.csv,0.67,0.39,0.4,0.89,0.47,0.96,0.82,0.5,0.41,0.45
ibatisdb.csv,0.75,0.4,0.9,0.8,0.6,0.78,0.8,0.56,0.61,0.45
jas.csv,0.87,0.75,0.46,0.67,0.94,0.47,0.74,0.53,0.44,0.67
mesa3d.csv,0.56,0.54,0.46,0.52,0.57,0.45,0.83,0.39,0.49,0.43
ngl.csv,0.32,0.41,0.48,0.48,0.49,0.52,0.43,0.33,0.98,0.45
pustefix.csv,0.67,0.55,0.57,0.52,0.82,0.59,0.44,0.58,0.52,0.38
scenemonitor.csv,0.45,0.48,0.75,0.0,0.7,0.69,0.75,0.48,0.97,0.94
wsmt.csv,0.45,0.9,0.86,0.67,0.82,0.98,0.79,0.62,0.86,0.88
