,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.0,0.51,0.51,0.08,0.73,0.54,0.15,0.08,0.0,0.19,0.17,0.0,0.0
fontforge.csv,0.59,0.48,0.59,0.53,0.82,0.59,0.04,0.72,0.23,0.66,0.22,0.49,0.59
gmerlin.csv,0.0,0.45,0.59,0.53,0.0,0.56,0.04,0.0,0.26,0.0,0.0,0.55,0.56
hatari.csv,0.53,0.51,0.68,0.49,0.8,0.56,0.04,0.57,0.24,0.65,0.23,0.38,0.48
jcl.csv,0.64,0.49,0.59,0.45,0.81,0.56,0.05,0.57,0.18,0.55,0.26,0.5,0.53
ltp.csv,0.28,0.42,0.59,0.57,0.78,0.53,0.0,0.63,0.19,0.53,0.22,0.33,0.36
net-snmp.csv,0.68,0.47,0.52,0.43,0.53,0.36,0.09,0.57,0.26,0.51,0.08,0.33,0.61
opde.csv,0.62,0.41,0.62,0.49,0.63,0.46,0.08,0.64,0.24,0.0,0.16,0.47,0.59
powerfolder-.csv,0.6,0.63,0.64,0.49,0.48,0.36,0.1,0.43,0.3,0.44,0.23,0.49,0.53
qlc.csv,0.0,0.5,0.0,0.44,0.28,0.56,0.06,0.0,0.35,0.58,0.29,0.0,0.49
tcl.csv,0.43,0.43,0.53,0.49,0.66,0.5,0.0,0.0,0.23,0.71,0.0,0.25,0.51
wxstudio.csv,0.57,0.27,0.49,0.36,0.54,0.48,0.06,0.52,0.08,0.54,0.11,0.44,0.71
