,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.0,0.09,0.08,0.0,0.65,0.35,0.21,0.0,0.03,0.22,0.07,0.0,0.04
fontforge.csv,0.96,0.77,1.0,1.0,0.99,0.57,0.96,0.26,0.85,1.0,0.98,0.83,0.8
gmerlin.csv,0.0,0.93,0.81,1.0,0.0,0.82,1.0,0.0,0.84,0.0,0.0,0.36,0.55
hatari.csv,0.57,0.53,0.28,0.76,0.9,0.56,0.83,1.0,0.91,0.82,0.94,0.29,0.41
jcl.csv,0.73,0.3,0.58,0.58,0.55,0.38,0.73,0.61,0.7,0.92,0.31,0.38,0.37
ltp.csv,0.27,0.72,0.86,0.67,0.43,0.68,0.83,0.84,0.68,0.6,0.67,0.21,0.63
net-snmp.csv,0.25,0.41,0.39,0.76,0.37,0.55,0.4,1.0,0.77,0.62,0.55,0.27,0.65
opde.csv,1.0,0.31,1.0,0.27,0.6,0.47,0.46,0.74,0.68,0.0,0.79,0.52,0.86
powerfolder-.csv,0.53,0.26,0.25,0.89,0.46,0.35,0.35,0.29,0.74,0.55,0.55,0.55,0.73
qlc.csv,0.0,0.68,0.0,0.84,0.32,0.28,0.58,0.0,0.41,0.5,0.32,0.0,0.33
tcl.csv,0.69,0.85,0.75,0.96,0.54,0.72,0.85,0.0,0.58,0.35,0.0,0.27,0.43
wxstudio.csv,0.47,0.35,0.39,0.44,0.34,0.28,0.6,0.77,0.29,0.78,0.03,0.42,0.24
