,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,1.0,0.71,0.52,0.69,0.97,0.02,0.14,0.48,0.59,0.19
fritzing.csv,0.75,0.44,0.7,0.5,0.95,0.01,0.33,0.31,0.49,0.32
jlinalg.csv,0.98,0.48,0.44,0.44,0.97,0.02,0.04,0.35,0.56,0.21
knowledge.csv,0.95,0.44,0.55,0.42,1.0,0.01,0.2,0.31,0.56,0.27
massiv.csv,1.0,0.76,0.65,0.0,0.0,0.19,0.0,0.52,0.0,0.35
oscarmcmaster.csv,0.96,0.69,0.74,0.63,0.98,0.01,0.33,0.39,0.57,0.28
playerstage.csv,0.91,0.47,0.62,0.72,0.96,0.01,0.25,0.52,0.5,0.3
quarkplusplus.csv,0.92,0.41,0.52,0.53,1.0,0.02,0.12,0.33,0.62,0.29
rtrt-on-gpu.csv,0.89,0.31,0.43,0.35,0.9,0.01,0.38,0.27,0.13,0.18
superwaba.csv,0.88,0.65,0.67,0.61,0.97,0.01,0.33,0.38,0.67,0.24
