,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.79,0.95,0.44,0.69,0.4,0.76,0.86,0.45,0.52,0.85
fritzing.csv,0.54,0.46,0.46,0.49,0.4,0.42,0.67,0.69,0.51,0.61
jlinalg.csv,0.49,0.85,0.52,0.43,0.55,0.61,0.58,0.44,0.61,0.53
knowledge.csv,0.44,0.39,0.47,0.38,0.42,0.51,0.8,0.43,0.48,0.45
massiv.csv,0.86,0.94,0.65,0.0,0.0,0.95,0.0,0.57,0.0,0.96
oscarmcmaster.csv,0.48,0.62,0.51,0.59,0.4,0.52,0.67,0.42,0.57,0.49
playerstage.csv,0.43,0.5,0.45,0.52,0.4,0.58,0.75,0.6,0.5,0.52
quarkplusplus.csv,0.48,0.54,0.46,0.53,0.42,0.69,0.88,0.43,0.5,0.82
rtrt-on-gpu.csv,0.83,0.48,0.76,0.45,0.6,0.51,0.67,0.91,0.93,0.48
superwaba.csv,0.47,0.45,0.41,0.61,0.35,0.56,0.67,0.36,0.47,0.63
