,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.24,0.43,0.74,0.52,0.58,0.51,0.57,0.52,0.88,0.58,0.78,0.24
codesmith.csv,0.41,0.73,0.71,0.22,0.66,0.6,0.85,0.68,0.51,0.85,0.41,0.21
icescrum.csv,0.27,0.27,0.24,0.23,0.16,0.26,0.33,0.48,0.54,0.25,0.19,0.12
ingex.csv,0.61,0.72,0.39,0.54,0.61,0.51,0.71,0.22,0.93,0.36,0.53,0.41
jrefactory.csv,0.8,0.72,0.37,0.82,0.66,0.09,0.44,0.48,0.63,0.4,0.47,0.88
jsecurity.csv,0.12,0.21,0.58,0.23,0.11,0.49,0.33,0.12,0.24,0.36,0.09,0.65
libopenmetaverse.csv,1.0,0.99,0.97,1.0,0.92,0.29,1.0,0.9,0.93,0.36,0.97,0.41
lite.csv,0.16,0.36,0.58,0.25,0.13,0.51,0.36,0.6,0.2,0.47,0.97,0.29
mobicents.csv,0.56,0.52,0.53,0.23,0.11,0.83,0.31,0.88,0.29,0.89,0.72,0.53
opendvr.csv,0.23,0.33,0.45,0.12,0.18,0.97,0.3,0.4,0.46,0.21,0.25,0.47
openefm.csv,0.62,0.22,0.71,0.65,0.11,0.57,0.68,0.38,0.02,0.68,0.78,0.59
sidekar.csv,0.0,0.18,0.0,0.0,0.34,0.0,0.0,0.0,0.78,0.98,0.0,0.0
