,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.13,0.42,0.82,0.05,0.64,0.28,0.39,0.12,0.25,0.95
pclasses.csv,0.5,0.35,0.0,0.0,0.38,0.0,0.29,1.0,0.28,0.0
pfaedit.csv,0.0,0.45,0.0,0.12,0.87,0.33,0.55,0.38,0.34,0.86
theresa.csv,0.11,0.44,0.71,0.21,0.71,0.0,0.61,0.13,0.33,0.98
thrust.csv,0.0,0.29,0.57,0.0,0.64,0.54,0.38,0.13,0.22,0.97
tktoolkit.csv,0.15,0.36,0.66,0.1,0.7,0.32,0.5,0.31,0.21,0.95
trinitycore.csv,0.29,0.39,1.0,0.1,0.56,0.24,0.53,0.12,0.37,1.0
tzod.csv,0.22,0.56,0.77,0.04,0.67,0.24,0.52,0.13,0.28,0.99
yaprm.csv,0.2,0.52,0.0,0.08,0.83,0.27,0.63,0.17,0.31,1.0
zemljanka.csv,0.2,0.42,0.58,0.09,0.64,0.28,0.52,0.12,0.26,1.0
