,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.79,0.69,0.31,0.87,0.7,0.87,0.87,0.92,0.71,0.74
pclasses.csv,0.2,0.72,1.0,1.02,0.96,1.0,0.96,0.96,0.69,1.0
pfaedit.csv,1.0,0.58,1.0,0.44,0.33,0.94,0.68,0.66,0.58,1.02
theresa.csv,0.87,0.58,0.63,0.22,0.53,1.0,0.57,0.74,0.64,0.56
thrust.csv,1.01,0.84,0.73,1.0,0.68,0.33,0.88,0.76,0.82,0.63
tktoolkit.csv,0.76,0.87,0.64,0.51,0.61,0.64,0.7,0.55,0.79,1.01
trinitycore.csv,0.59,0.68,0.98,0.52,0.91,0.76,0.74,0.85,0.5,0.89
tzod.csv,0.68,0.43,0.61,0.86,0.6,0.78,0.71,0.76,0.7,0.49
yaprm.csv,0.63,0.58,1.0,0.57,0.73,0.71,0.51,0.64,0.67,0.76
zemljanka.csv,0.74,0.67,0.87,0.58,0.78,0.69,0.84,0.87,0.88,0.19
