,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.2,0.39,0.81,0.09,0.69,0.43,0.41,0.2,0.34,0.57
pclasses.csv,0.65,0.41,0.0,0.0,0.1,0.0,0.09,0.08,0.33,0.0
pfaedit.csv,0.0,0.5,0.0,0.21,0.79,0.1,0.67,0.36,0.41,0.25
theresa.csv,0.13,0.54,0.52,0.35,0.73,0.0,0.57,0.22,0.37,0.65
thrust.csv,0.0,0.25,0.57,0.0,0.51,0.63,0.23,0.22,0.22,0.7
tktoolkit.csv,0.21,0.51,0.54,0.17,0.79,0.45,0.53,0.37,0.28,0.9
trinitycore.csv,0.36,0.41,0.05,0.19,0.16,0.29,0.64,0.14,0.47,0.2
tzod.csv,0.28,0.62,0.54,0.06,0.62,0.26,0.44,0.21,0.32,0.69
yaprm.csv,0.31,0.5,0.0,0.14,0.42,0.33,0.64,0.25,0.35,0.39
zemljanka.csv,0.32,0.55,0.69,0.17,0.74,0.38,0.67,0.2,0.41,0.9
