,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.77,0.71,0.45,0.52,0.38,0.44,0.54,0.44,0.52,0.81
pclasses.csv,0.7,0.46,0.0,0.9,0.88,0.5,0.86,0.0,0.72,0.0
pfaedit.csv,0.8,0.48,0.0,0.56,0.4,0.67,0.39,0.95,0.5,0.97
theresa.csv,0.58,0.35,0.58,0.5,0.36,0.67,0.45,0.36,0.53,0.4
thrust.csv,0.88,0.95,0.55,0.0,0.5,0.75,0.94,0.5,0.8,0.64
tktoolkit.csv,0.52,0.36,0.62,0.43,0.33,0.46,0.43,0.69,0.52,0.43
trinitycore.csv,0.59,0.48,0.0,0.48,0.89,0.52,0.35,0.88,0.55,0.95
tzod.csv,0.89,0.47,0.68,0.57,0.35,0.62,0.59,0.41,0.55,0.42
yaprm.csv,0.53,0.56,0.0,0.52,0.78,0.69,0.45,0.53,0.54,0.55
zemljanka.csv,0.49,0.4,0.45,0.53,0.35,0.64,0.36,0.42,0.46,0.48
