,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,mediaportal.csv
botsnscouts.csv,0.59,0.79,0.88,0.22,0.48
freenet.csv,0.59,0.43,0.44,0.96,0.84
mediaportal.csv,0.12,0.07,0.25,0.11,0.26
onotoa.csv,0.88,0.35,0.56,0.93,0.67
sqlpower-library.csv,0.47,0.93,0.62,1.0,1.0
