,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.14,0.02,0.0,0.0,0.07,0.05,0.05,0.02,0.86,0.06,0.09,0.01,0.0,0.18
dvt.csv,0.3,0.43,0.14,0.12,0.14,0.98,0.29,0.21,0.29,0.17,0.15,0.39,0.17,0.18
flylinkdc.csv,0.95,0.26,0.17,0.09,0.5,0.36,0.33,0.4,0.19,0.44,0.22,0.34,0.33,0.45
fulguro.csv,0.32,0.29,0.52,0.57,0.29,0.24,0.52,0.26,0.67,0.28,0.01,0.09,0.11,1.0
gnome-jabber.csv,0.84,0.79,0.96,0.51,0.79,0.81,0.62,0.86,0.52,0.94,1.0,0.86,0.69,0.91
ipfire-wall.csv,0.27,0.57,0.53,0.56,0.5,0.45,0.29,0.79,0.67,1.0,0.12,0.33,0.28,0.55
jruby.csv,0.68,0.64,1.0,0.59,0.36,0.4,0.38,0.6,0.0,0.17,0.34,0.98,0.14,0.0
ldview.csv,0.46,0.26,0.82,0.33,0.29,0.36,0.95,0.26,0.05,0.44,0.18,0.13,0.33,0.64
maidsafe-dht.csv,0.22,0.07,0.32,0.28,0.93,0.24,0.14,0.19,0.1,0.44,0.01,0.12,0.31,0.09
nuttx.csv,0.73,0.74,0.8,0.99,0.71,0.79,0.52,0.84,0.24,0.72,0.49,0.93,0.69,0.55
oorexx.csv,0.65,0.43,0.01,0.07,0.57,0.38,0.62,0.33,0.57,0.61,0.24,0.49,1.0,0.73
red5.csv,0.73,0.48,0.86,0.62,0.36,0.52,0.95,0.93,0.71,0.33,0.92,0.64,0.28,0.36
vdsf.csv,0.89,0.9,0.85,0.28,1.0,0.74,0.86,0.7,1.0,0.94,0.97,0.88,0.97,0.82
xbrlapi.csv,0.22,0.98,0.55,0.76,0.43,0.29,0.29,0.42,0.24,0.56,0.45,0.28,0.28,0.55
