,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.13,0.05,0.0,0.0,0.07,0.05,0.19,0.07,0.0,0.3,0.0,0.0,0.0,0.08
dvt.csv,0.21,0.45,0.1,0.1,0.23,0.0,0.19,0.07,0.24,0.11,0.2,0.47,0.24,0.29
flylinkdc.csv,0.0,0.28,0.18,0.15,0.35,0.5,0.22,0.17,0.24,0.22,0.0,0.42,0.28,0.46
fulguro.csv,0.19,0.05,0.62,0.56,0.3,0.45,0.19,0.1,0.41,0.27,0.0,0.11,0.08,0.0
gnome-jabber.csv,0.82,0.9,0.93,0.62,0.78,0.67,0.7,0.86,0.71,0.7,0.4,0.84,0.6,0.82
ipfire-wall.csv,0.49,0.57,0.24,0.56,0.37,0.28,0.41,0.72,0.44,0.0,0.0,0.32,0.44,0.57
jruby.csv,0.62,0.62,1.0,0.62,0.33,0.39,0.32,0.72,0.27,0.27,0.2,0.05,0.24,0.06
ldview.csv,0.35,0.2,0.71,0.41,0.33,0.57,0.0,0.21,0.03,0.16,0.0,0.05,0.24,0.43
maidsafe-dht.csv,0.07,0.08,0.16,0.33,0.02,0.16,0.08,0.1,0.17,0.16,0.0,0.11,0.04,0.11
nuttx.csv,0.73,0.65,0.86,0.05,0.6,0.46,0.43,0.83,0.39,0.7,0.4,1.0,0.52,0.56
oorexx.csv,0.69,0.6,0.0,0.03,0.48,0.33,0.68,0.41,0.49,0.84,0.4,0.47,0.08,0.73
red5.csv,0.73,0.68,0.95,0.46,0.38,0.45,0.89,0.0,0.44,0.65,0.8,0.58,0.12,0.65
vdsf.csv,0.86,0.88,0.03,0.38,0.88,0.86,0.86,0.72,0.98,0.95,0.8,0.95,0.88,0.95
xbrlapi.csv,0.17,0.0,0.68,0.85,0.37,0.56,0.35,0.45,0.39,0.38,0.6,0.37,0.44,0.42
