,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.17,0.02,0.0,0.0,0.09,0.06,0.06,0.02,0.88,0.07,0.11,0.01,0.0,0.21
dvt.csv,0.34,0.45,0.17,0.15,0.17,0.98,0.33,0.25,0.33,0.2,0.18,0.41,0.2,0.21
flylinkdc.csv,0.96,0.3,0.2,0.11,0.52,0.38,0.37,0.45,0.22,0.48,0.26,0.37,0.37,0.47
fulguro.csv,0.36,0.34,0.48,0.54,0.33,0.27,0.56,0.3,0.65,0.32,0.01,0.11,0.13,1.0
gnome-jabber.csv,0.48,0.33,0.27,0.48,0.52,0.63,0.51,0.42,0.45,0.66,0.88,0.46,0.6,0.5
ipfire-wall.csv,0.3,0.54,0.56,0.53,0.52,0.49,0.32,0.58,0.64,1.0,0.15,0.37,0.31,0.52
jruby.csv,0.59,0.56,0.0,0.53,0.4,0.43,0.42,0.49,0.0,0.2,0.38,0.97,0.17,0.0
ldview.csv,0.49,0.3,0.6,0.36,0.33,0.37,0.96,0.3,0.06,0.49,0.22,0.16,0.37,0.62
maidsafe-dht.csv,0.26,0.09,0.37,0.32,0.94,0.28,0.17,0.23,0.12,0.49,0.01,0.15,0.36,0.11
nuttx.csv,0.54,0.61,0.41,0.98,0.61,0.72,0.53,0.47,0.27,0.56,0.51,0.0,0.63,0.52
oorexx.csv,0.53,0.42,0.01,0.09,0.56,0.42,0.52,0.36,0.56,0.39,0.27,0.5,0.98,0.54
red5.csv,0.54,0.44,0.2,0.6,0.39,0.53,0.38,0.94,0.67,0.33,0.53,0.58,0.32,0.36
vdsf.csv,0.43,0.39,0.87,0.31,0.41,0.4,0.42,0.54,0.09,0.21,0.55,0.2,0.4,0.2
xbrlapi.csv,0.26,0.98,0.48,0.42,0.46,0.31,0.33,0.44,0.27,0.57,0.44,0.32,0.31,0.56
