,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,0.89,0.45,0.48,0.55,0.41,0.39,0.54,0.5,0.33,0.44,0.67,0.38,0.55,0.42,0.44
bscwweasel.csv,0.67,0.88,0.57,0.62,0.41,0.5,0.51,0.37,0.7,0.45,0.55,0.77,0.57,0.46,0.35
capcode.csv,0.67,0.44,0.51,0.49,0.58,0.55,0.72,0.94,0.62,0.53,0.52,0.66,0.54,0.54,0.4
cme.csv,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83
emite.csv,0.51,0.86,0.86,0.97,0.88,0.92,0.93,0.86,0.75,0.95,0.0,0.47,0.67,0.94,0.9
fluent-nhibernate.csv,0.91,0.94,0.51,0.8,0.4,0.91,0.52,0.7,0.4,0.4,0.54,0.64,0.62,0.67,0.83
lamp.csv,0.82,0.57,0.77,0.49,0.34,0.38,0.38,0.62,0.39,0.34,0.32,0.69,0.59,0.46,0.39
mecat.csv,0.0,0.67,0.67,0.86,0.67,0.86,0.0,0.93,0.0,0.92,0.9,0.0,0.92,0.5,0.47
nodal.csv,0.0,0.95,0.71,0.63,0.73,0.75,0.0,0.97,0.65,0.4,0.5,0.89,0.52,0.43,0.48
pydev.csv,0.44,0.65,0.62,0.48,0.36,0.41,0.51,0.38,0.58,0.44,0.37,0.93,0.48,0.46,0.36
retromenu.csv,0.89,0.69,0.68,0.88,0.38,0.62,0.43,0.52,0.92,0.83,0.43,0.86,0.62,0.76,0.8
smbopensoft.csv,0.39,0.39,0.5,0.71,0.52,0.86,0.51,0.75,0.95,0.52,0.94,0.4,0.86,0.55,0.53
stuproa-cims.csv,0.0,0.5,0.61,0.69,0.41,0.89,0.75,0.73,0.47,0.44,0.73,0.73,0.65,0.45,0.59
thout.csv,0.69,0.53,0.56,0.94,0.42,0.37,0.42,0.39,0.32,0.39,0.38,0.4,0.4,0.6,0.53
uface.csv,0.27,0.4,0.46,0.45,0.31,0.38,0.39,0.4,0.44,0.45,0.33,0.41,0.4,0.37,0.37
