,selenium.csv,cities3d.csv,levent.csv,xemeiah.csv,bwapi.csv,img-browse-sort.csv,somap.csv,pnotepad.csv
bwapi.csv,0.58,0.13,0.42,0.52,0.97,0.0,0.0,0.53
cities3d.csv,0.5,0.88,0.48,0.32,0.5,0.1,0.43,0.32
img-browse-sort.csv,0.6,0.59,0.42,0.61,0.36,1.0,0.0,0.25
levent.csv,0.61,0.55,0.98,0.6,0.55,0.79,0.69,0.6
pnotepad.csv,0.53,0.44,0.66,0.7,0.37,0.21,0.0,0.98
selenium.csv,0.98,0.71,0.55,0.59,0.31,0.57,0.4,0.43
somap.csv,0.33,0.0,0.0,0.0,0.0,0.13,0.99,0.0
xemeiah.csv,0.47,0.67,0.33,0.99,0.4,0.27,0.24,0.35
