,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.77,0.58,0.89,1.05,0.97,0.81,1.02,0.97,1.04,0.9,0.82,0.92,1.0,0.84
calcubetimer.csv,0.55,0.79,0.97,0.77,0.85,1.03,0.14,0.91,0.81,1.0,0.77,0.79,0.87,0.98
chaosrts.csv,0.87,0.73,0.88,0.9,0.6,0.86,0.75,0.89,0.67,0.79,0.78,0.31,0.99,0.84
chaperon.csv,0.72,0.88,0.53,0.84,0.69,0.1,1.01,0.99,0.64,0.51,0.87,0.89,0.85,0.69
dxengine.csv,0.68,0.83,0.42,0.59,1.0,0.75,1.23,0.65,0.85,1.02,0.95,0.85,0.53,0.78
emono.csv,0.81,0.91,0.79,0.99,0.77,0.47,0.77,0.92,0.7,0.84,0.82,0.97,0.84,0.47
factor.csv,0.95,0.77,0.92,0.9,0.89,1.0,0.78,1.01,0.87,1.0,0.86,1.0,0.15,0.94
jas.csv,0.95,0.84,0.73,0.54,0.6,0.85,1.26,0.97,0.64,0.13,0.83,0.76,0.74,0.87
jmoney.csv,0.2,0.71,0.44,0.73,0.61,0.56,0.57,0.81,0.72,0.91,0.88,0.57,0.82,0.82
jmonkeyengine.csv,0.97,0.92,0.81,0.78,0.49,0.95,1.11,1.01,0.84,0.99,0.78,0.64,0.7,0.99
matrex.csv,0.37,0.71,0.7,0.38,0.95,0.75,0.73,0.23,0.85,0.63,0.95,0.83,0.71,0.83
primefaces.csv,0.78,0.85,1.0,0.79,0.92,0.67,0.77,0.62,0.87,0.9,0.33,1.0,0.96,1.0
roolo.csv,0.81,0.6,0.62,0.96,0.72,0.81,0.6,0.88,0.3,0.93,0.92,0.8,0.95,0.71
sblim.csv,0.52,0.73,0.92,0.26,0.74,0.45,0.86,0.58,0.87,1.01,0.57,0.77,0.98,1.0
