,ifmo-game-1.csv,voms.csv,fm-classic.csv,foursquared.csv,micomt.csv,xpontus.csv,jmule.csv
fm-classic.csv,0.17,0.18,0.1,0.02,0.02,0.2,0.0
foursquared.csv,0.08,0.05,0.13,0.15,0.0,0.16,0.0
ifmo-game-1.csv,0.19,0.05,0.19,0.11,0.1,0.32,0.28
jmule.csv,0.6,0.3,0.56,0.74,0.51,0.52,0.14
micomt.csv,0.78,0.7,0.81,0.93,0.19,0.83,0.83
voms.csv,0.38,0.15,0.9,0.3,0.08,0.74,0.0
