,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.13,0.0,0.39,0.36,0.46,0.63,0.43,1.0,0.07,0.89,0.57,0.02
ivatamasks.csv,0.78,0.67,0.6,0.99,0.5,0.43,0.61,0.52,0.61,0.75,0.61,0.68
orc.csv,0.12,0.1,0.95,0.07,0.48,0.0,0.43,0.0,0.11,0.84,0.44,0.2
plato.csv,0.61,0.66,0.39,0.36,0.48,1.0,0.42,0.18,0.44,0.56,0.53,0.3
proftp.csv,0.76,0.5,0.54,0.61,0.28,0.44,0.97,0.34,0.27,0.89,0.45,0.39
tycho.csv,0.2,0.65,0.56,0.6,0.39,0.44,0.55,0.33,1.0,0.0,0.5,0.45
uclmda.csv,0.06,0.02,0.14,0.0,0.27,0.15,0.31,0.05,0.45,0.99,0.04,1.0
umber.csv,1.0,0.15,0.29,0.32,0.16,0.09,0.0,0.59,0.07,0.0,0.13,0.01
unicase.csv,0.68,0.84,0.66,0.48,0.42,0.69,0.52,0.39,0.07,0.0,0.99,0.01
vienna-add-in.csv,0.76,0.4,0.37,0.5,0.96,0.4,0.12,0.67,0.46,0.0,0.56,0.68
wpdev.csv,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
