,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.47,1.0,0.54,0.79,0.56,0.62,0.78,0.0,0.04,0.38,0.68,0.33
ivatamasks.csv,0.4,0.5,0.61,0.0,0.56,0.12,0.46,0.79,0.46,0.62,0.48,0.67
orc.csv,0.73,0.0,0.0,0.02,0.71,1.0,0.41,0.0,0.36,0.49,0.66,0.5
plato.csv,0.73,0.5,0.79,0.87,0.73,0.0,0.86,0.03,0.68,0.8,0.79,0.67
proftp.csv,0.16,0.0,0.22,0.19,0.15,0.75,0.03,0.45,0.11,0.38,0.22,0.17
tycho.csv,0.84,0.0,0.44,0.57,0.32,0.5,0.38,0.29,0.0,0.33,0.8,0.33
uclmda.csv,0.15,0.0,0.41,0.0,0.39,0.12,0.19,0.18,0.79,0.03,0.08,0.0
umber.csv,0.0,0.0,0.11,0.09,0.0,0.12,0.0,0.21,0.07,0.08,0.03,0.33
unicase.csv,0.56,0.0,0.56,0.83,0.37,0.38,0.78,0.87,0.0,0.61,0.03,0.83
vienna-add-in.csv,0.45,0.5,0.87,0.81,0.0,0.5,0.22,0.37,0.54,0.42,0.56,0.5
wpdev.csv,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0
