,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.82,0.52,0.55,0.71,0.65,0.54,0.59,0.36,0.67,0.76,0.54,0.8
ivatamasks.csv,0.39,0.42,0.39,0.43,0.44,0.47,0.36,0.33,0.43,0.41,0.35,0.26
orc.csv,0.57,0.91,0.93,0.86,0.51,0.44,0.74,0.0,0.92,0.5,0.65,0.97
plato.csv,0.37,0.51,0.37,0.54,0.59,0.45,0.47,0.94,0.61,0.44,0.45,0.67
proftp.csv,0.52,0.44,0.67,0.47,0.65,0.34,0.43,0.58,0.73,0.53,0.49,0.66
tycho.csv,0.48,0.46,0.54,0.53,0.74,0.77,0.57,0.72,0.54,0.69,0.49,0.54
uclmda.csv,0.89,0.67,0.59,0.0,0.64,0.83,0.67,0.91,0.36,0.8,0.96,0.26
umber.csv,0.58,0.94,0.95,0.94,0.91,0.75,0.0,0.53,0.75,0.89,0.98,0.67
unicase.csv,0.41,0.39,0.41,0.46,0.62,0.45,0.47,0.34,0.5,0.46,0.44,0.83
vienna-add-in.csv,0.51,0.74,0.33,0.48,0.54,0.4,0.91,0.43,0.65,0.53,0.51,0.31
wpdev.csv,0.34,0.39,0.29,0.43,0.4,0.42,0.4,0.29,0.4,0.36,0.39,0.26
