,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.28,0.6,0.51,0.57,0.69,0.29,0.42,0.39,0.61,0.63,0.56,0.74
autowikibrowser.csv,0.31,0.7,0.62,0.54,0.68,0.17,0.43,0.32,0.65,0.68,0.53,0.74
cities3d.csv,0.0,0.61,0.29,0.46,0.27,0.3,0.45,0.0,0.36,0.59,0.42,0.0
firebird.csv,0.31,0.59,0.64,0.58,0.65,0.23,0.46,0.37,0.57,0.64,0.51,0.72
hydrogen.csv,0.28,0.63,0.69,0.53,0.66,0.16,0.55,0.24,0.57,0.62,0.35,0.62
lphant.csv,0.34,0.64,0.59,0.51,0.65,0.24,0.41,0.3,0.7,0.7,0.5,0.72
qgo.csv,0.24,0.85,0.67,0.58,0.63,0.17,0.38,0.33,0.56,0.65,0.44,0.79
quickfast.csv,0.22,0.62,0.64,0.46,0.4,0.15,0.33,0.29,0.61,0.59,0.48,0.83
rhex.csv,0.5,0.63,0.47,0.41,0.4,0.17,0.38,0.17,0.08,0.34,0.39,0.53
rocrail.csv,0.39,0.65,0.57,0.53,0.59,0.19,0.46,0.32,0.57,0.65,0.59,0.47
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0
yield.csv,0.21,0.67,0.67,0.54,0.74,0.16,0.27,0.34,0.6,0.65,0.44,0.73
