,campsoft.csv,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,sevenupdate.csv,freenet.csv,qlc.csv,officefloor.csv,botsnscouts.csv,google-caja.csv,yarp0.csv,kindb.csv,repositorium.csv,poormans.csv,illumination.csv,hibernate.csv,geogebra.csv
botsnscouts.csv,0.34,0.44,0.38,0.36,0.33,0.35,0.32,0.37,0.44,0.44,0.34,0.5,0.31,0.41,0.47,0.42,0.38,0.43
fbmanager.csv,0.5,0.84,0.86,0.43,0.36,0.39,0.91,0.75,0.0,0.5,0.8,0.86,0.0,0.0,0.52,0.0,0.0,0.0
freenet.csv,0.43,0.66,0.31,0.66,0.43,0.47,0.42,0.8,0.45,0.33,0.33,0.57,0.84,0.93,0.59,0.41,0.54,0.48
geogebra.csv,0.7,0.52,0.47,0.49,0.36,0.41,0.32,0.44,0.52,0.39,0.71,0.43,0.44,0.42,0.57,0.56,0.45,0.45
google-caja.csv,0.32,0.41,0.27,0.35,0.33,0.34,0.31,0.37,0.42,0.31,0.32,0.34,0.3,0.31,0.38,0.32,0.4,0.38
hibernate.csv,0.44,0.54,0.37,0.56,0.42,0.53,0.47,0.47,0.45,0.48,0.4,0.58,0.52,0.89,0.52,0.5,0.56,0.5
illumination.csv,0.36,0.47,0.33,0.43,0.39,0.43,0.96,0.59,0.0,0.33,0.67,0.45,0.0,0.0,0.46,0.74,0.0,0.0
kindb.csv,0.37,0.47,0.71,0.54,0.56,0.67,0.44,0.46,0.49,0.47,0.66,0.33,0.3,0.32,0.6,0.62,0.55,0.71
officefloor.csv,0.46,0.67,0.75,0.86,0.52,0.64,0.57,0.95,0.51,0.5,0.78,0.67,0.67,0.5,0.49,0.83,0.59,0.71
paintown.csv,0.33,0.44,0.48,0.4,0.4,0.4,0.44,0.48,0.49,0.35,0.36,0.57,0.35,0.35,0.58,0.5,0.5,0.41
poormans.csv,0.55,0.95,0.42,0.67,0.38,0.58,0.41,0.9,0.6,0.38,0.65,0.73,0.0,0.0,0.44,0.92,0.94,0.56
qlc.csv,0.39,0.46,0.5,0.53,0.43,0.47,0.32,0.45,0.48,0.53,0.5,0.42,0.3,0.68,0.44,0.67,0.44,0.67
repositorium.csv,0.96,0.74,0.93,0.68,0.75,0.7,0.62,0.94,0.99,0.5,0.93,0.58,0.0,0.6,0.94,0.92,0.98,0.93
sevenupdate.csv,0.31,0.45,0.33,0.4,0.38,0.61,0.41,0.42,0.45,0.47,0.37,0.39,0.41,0.41,0.45,0.45,0.45,0.43
sqlpower-library.csv,0.45,0.43,0.3,0.44,0.42,0.44,0.36,0.42,0.51,0.31,0.36,0.43,0.86,0.42,0.47,0.34,0.49,0.49
triplea.csv,0.33,0.45,0.42,0.43,0.38,0.47,0.35,0.47,0.55,0.38,0.34,0.47,0.3,0.37,0.42,0.39,0.47,0.41
yarp0.csv,0.42,0.48,0.37,0.37,0.43,0.45,0.36,0.43,0.49,0.42,0.39,0.62,0.43,0.4,0.45,0.36,0.56,0.44
