,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.38,0.66,0.28,0.62,0.65,0.29,0.16,0.9,0.07,0.26
geotools.csv,0.71,0.68,0.6,0.56,0.66,0.25,0.29,0.85,0.52,0.5
gephex.csv,0.21,0.9,0.71,1.0,0.79,0.47,0.61,0.37,0.71,0.79
haggle.csv,0.02,0.39,0.11,0.0,0.21,0.2,0.17,0.61,0.24,0.0
java-gnome.csv,0.31,0.51,0.18,0.12,0.45,0.25,0.52,0.32,0.52,0.71
jgnash.csv,0.38,0.29,0.19,0.25,0.26,0.29,0.33,0.63,0.5,0.62
jrdf.csv,0.19,0.39,0.71,0.75,0.3,0.25,0.46,0.05,0.29,0.65
mpqc.csv,0.27,0.22,0.28,0.19,0.32,0.37,0.43,0.49,0.49,0.5
panda3d.csv,0.5,0.44,0.21,0.12,0.33,0.44,0.56,0.59,0.45,0.26
tencompetence.csv,0.23,0.49,0.49,0.56,0.45,0.93,0.71,0.12,0.29,0.65
