,selenium.csv,pcgen.csv,autoopencas.csv,tolven.csv,nabu-library.csv
autoopencas.csv,0.95,0.89,0.02,0.94,0.56
nabu-library.csv,0.72,0.72,0.68,0.74,0.01
pcgen.csv,0.79,0.04,1.02,0.54,1.06
selenium.csv,0.02,0.73,0.91,0.58,0.79
tolven.csv,0.82,0.57,0.9,0.11,0.88
