,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.74,0.49,0.58,0.0,0.69,0.54,0.23,0.56,0.7,0.74,0.74,0.09
autowikibrowser.csv,0.35,0.31,0.37,0.33,0.19,0.42,0.33,0.51,0.33,0.0,0.41,0.44
cities3d.csv,0.05,0.83,0.06,0.73,0.03,0.0,0.02,0.07,0.03,0.02,0.11,0.03
firebird.csv,0.31,0.29,0.0,0.31,0.32,0.38,0.45,0.47,0.18,0.22,0.41,0.22
hydrogen.csv,0.28,0.57,0.49,0.32,0.32,0.36,0.0,0.12,0.15,0.52,0.25,0.31
lphant.csv,0.33,0.89,0.59,0.8,0.5,0.49,0.4,0.16,0.0,0.44,0.71,0.06
qgo.csv,0.26,0.0,0.22,0.22,0.04,0.58,0.14,0.19,0.61,0.48,0.11,0.19
quickfast.csv,0.47,0.34,0.58,0.52,0.44,0.56,0.32,0.51,0.61,0.57,0.48,0.0
rhex.csv,0.0,0.37,0.09,0.29,0.19,0.03,0.01,0.0,0.03,0.24,0.02,0.0
rocrail.csv,0.06,0.03,0.08,0.04,0.01,0.07,0.02,0.07,0.03,0.0,0.0,0.03
xined.csv,0.09,0.69,0.11,0.46,0.06,0.14,0.44,0.0,0.06,0.17,0.09,0.09
yield.csv,0.46,0.51,0.44,0.59,0.0,0.62,0.29,0.7,0.55,0.37,0.57,0.28
