,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.81,0.57,0.72,0.04,0.85,0.89,0.67,0.82,0.7,0.81,0.82,0.56
autowikibrowser.csv,0.43,0.46,0.61,0.59,0.62,0.5,0.5,0.59,0.56,0.05,0.43,0.53
cities3d.csv,0.92,0.87,0.79,0.85,0.94,0.08,0.88,0.9,0.91,0.93,0.83,1.0
firebird.csv,0.66,0.61,0.02,0.66,0.56,0.64,0.72,0.84,0.71,0.63,0.61,0.44
hydrogen.csv,0.65,0.74,0.67,0.67,0.87,0.65,0.19,0.81,0.74,0.69,0.6,0.6
lphant.csv,0.67,0.91,0.75,0.83,0.58,0.57,0.55,0.62,0.05,0.53,0.76,0.68
qgo.csv,0.79,0.03,0.63,0.63,0.75,0.69,0.7,0.53,0.62,0.58,0.74,0.69
quickfast.csv,0.58,0.61,0.67,0.64,0.53,0.65,0.49,0.72,0.62,0.6,0.49,0.0
rhex.csv,0.08,0.6,0.91,0.66,0.77,0.87,0.81,0.9,0.82,0.66,0.86,0.96
rocrail.csv,0.92,0.8,0.86,0.85,0.94,0.65,0.69,0.8,1.0,0.91,0.0,0.94
xined.csv,0.92,0.71,0.88,0.72,0.94,0.48,0.67,0.0,0.78,0.92,0.87,0.81
yield.csv,0.68,0.54,0.6,0.66,0.02,0.67,0.38,0.76,0.57,0.41,0.59,0.48
