,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.51,0.65,0.53,0.97,0.45,0.32,0.42,0.41,0.65,0.51,0.5,0.5
autowikibrowser.csv,0.73,0.67,0.54,0.54,0.45,0.69,0.63,0.64,0.57,0.96,0.79,0.67
cities3d.csv,0.1,0.44,0.25,0.46,0.07,0.93,0.15,0.12,0.11,0.09,0.21,0.0
firebird.csv,0.46,0.5,0.98,0.46,0.56,0.51,0.46,0.33,0.36,0.45,0.56,0.65
hydrogen.csv,0.46,0.51,0.54,0.45,0.22,0.49,0.84,0.24,0.31,0.53,0.49,0.52
lphant.csv,0.45,0.35,0.5,0.5,0.65,0.65,0.62,0.45,0.96,0.67,0.56,0.37
qgo.csv,0.29,0.98,0.45,0.45,0.29,0.57,0.36,0.54,0.69,0.64,0.31,0.38
quickfast.csv,0.64,0.53,0.6,0.59,0.67,0.61,0.63,0.5,0.69,0.69,0.76,1.0
rhex.csv,0.93,0.55,0.11,0.45,0.29,0.17,0.23,0.12,0.22,0.43,0.17,0.05
rocrail.csv,0.1,0.24,0.17,0.19,0.07,0.4,0.36,0.24,0.0,0.11,1.0,0.07
xined.csv,0.1,0.61,0.15,0.47,0.07,0.58,0.51,1.0,0.27,0.11,0.17,0.23
yield.csv,0.51,0.73,0.58,0.62,0.98,0.62,0.74,0.55,0.7,0.77,0.72,0.64
