,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.48,0.25,0.77,0.61,0.79,0.47,0.54,0.48,1.0,0.54,0.29,0.69
gamestone.csv,0.16,1.0,0.18,0.16,0.29,0.14,0.08,0.17,0.3,0.62,0.1,0.49
gbif-providertoolkit.csv,0.35,0.25,0.38,0.32,0.93,0.16,0.04,0.18,0.14,0.31,0.1,0.16
heekscad.csv,1.0,0.5,0.8,0.68,0.64,0.41,0.5,0.51,0.62,1.0,0.6,0.71
igarden.csv,0.25,0.25,0.23,1.0,0.21,0.27,0.15,0.12,0.12,0.46,0.1,0.27
levent.csv,0.66,0.75,0.71,0.77,0.71,0.98,0.23,0.52,0.71,0.54,0.54,0.24
libmesh.csv,0.12,0.5,0.11,0.52,0.14,0.12,0.92,0.23,0.29,0.46,0.15,0.4
openmsx.csv,0.69,0.75,0.34,0.71,0.5,0.24,0.19,0.95,0.41,0.62,0.48,0.64
pnotepad.csv,0.95,0.75,0.93,0.94,0.86,0.65,0.58,0.69,0.82,1.0,0.98,0.96
quark.csv,0.32,0.0,0.27,0.16,0.14,0.0,0.04,0.05,0.04,0.92,0.15,0.24
tango-cs.csv,0.52,0.25,0.48,0.48,0.36,0.2,0.19,0.4,0.42,0.92,0.48,1.0
xcsoar.csv,0.62,0.25,0.93,0.42,0.57,0.35,0.15,0.38,0.5,0.85,0.29,0.6
