,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,3.0,23.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
gamestone.csv,0.0,0.0,2.0,1.0,9.0,0.0,2.0,0.0,0.0,6.0,0.0,1.0
gbif-providertoolkit.csv,1.0,7.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0
heekscad.csv,0.0,8.0,0.0,1.0,16.0,2.0,1.0,0.0,0.0,7.0,0.0,0.0
igarden.csv,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
levent.csv,2.0,8.0,6.0,3.0,24.0,0.0,2.0,2.0,0.0,9.0,0.0,5.0
libmesh.csv,0.0,13.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,15.0,2.0,0.0
openmsx.csv,1.0,9.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,15.0,3.0,0.0
pnotepad.csv,2.0,17.0,0.0,3.0,1.0,0.0,0.0,6.0,0.0,17.0,0.0,0.0
quark.csv,1.0,59.0,0.0,1.0,0.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0
tango-cs.csv,4.0,19.0,1.0,0.0,3.0,0.0,1.0,7.0,0.0,15.0,0.0,0.0
xcsoar.csv,0.0,10.0,0.0,4.0,25.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0
