,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.44,0.62,0.46,0.38,0.41,0.39,0.63,0.53,0.4,0.43,0.67,0.35
gamestone.csv,0.93,0.88,0.94,0.94,0.68,0.88,0.8,0.67,0.59,0.42,0.8,0.45
gbif-providertoolkit.csv,0.66,0.82,0.65,0.65,0.92,0.8,0.83,0.94,0.92,0.92,0.8,0.92
heekscad.csv,0.44,0.48,0.39,0.4,0.38,0.45,0.53,0.46,0.41,0.39,0.45,0.35
igarden.csv,0.81,0.8,0.94,0.71,0.83,0.82,0.92,0.92,0.91,0.8,0.8,0.72
levent.csv,0.4,0.48,0.39,0.36,0.36,0.5,0.48,0.45,0.37,0.48,0.45,0.67
libmesh.csv,0.94,0.67,0.95,0.62,0.94,0.89,0.87,0.97,0.9,0.51,0.91,0.57
openmsx.csv,0.47,0.47,0.73,0.37,0.95,0.96,0.73,0.69,0.7,0.48,0.55,0.47
pnotepad.csv,0.4,0.53,0.35,0.31,0.35,0.37,0.4,0.39,0.31,0.34,0.4,0.32
quark.csv,0.61,0.0,0.95,0.86,0.86,0.0,0.5,0.86,0.67,0.92,0.86,0.93
tango-cs.csv,0.63,0.67,0.63,0.45,0.67,0.93,0.94,0.58,0.53,0.36,0.65,0.57
xcsoar.csv,0.41,0.65,0.51,0.5,0.39,0.57,0.61,0.71,0.41,0.4,0.79,0.41
