,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.51,0.27,0.73,0.58,0.7,0.5,0.53,0.51,1.0,0.54,0.32,0.53
gamestone.csv,0.19,1.0,0.21,0.19,0.33,0.17,0.1,0.2,0.34,0.61,0.12,0.51
gbif-providertoolkit.csv,0.4,0.29,0.43,0.36,0.94,0.19,0.05,0.21,0.17,0.36,0.12,0.19
heekscad.csv,1.0,0.53,0.76,0.63,0.62,0.43,0.5,0.5,0.61,0.77,0.63,0.61
igarden.csv,0.29,0.29,0.27,1.0,0.25,0.31,0.18,0.15,0.15,0.51,0.12,0.31
levent.csv,0.67,0.74,0.69,0.66,0.61,0.98,0.26,0.53,0.64,0.55,0.57,0.27
libmesh.csv,0.14,0.47,0.13,0.55,0.17,0.14,0.91,0.27,0.33,0.44,0.18,0.42
openmsx.csv,0.66,0.5,0.37,0.57,0.54,0.27,0.22,0.96,0.44,0.52,0.37,0.52
pnotepad.csv,0.82,0.68,0.78,0.59,0.5,0.64,0.48,0.53,0.58,0.0,0.98,0.59
quark.csv,0.37,0.0,0.31,0.19,0.17,0.0,0.05,0.06,0.05,0.93,0.18,0.28
tango-cs.csv,0.54,0.28,0.51,0.5,0.39,0.24,0.22,0.41,0.44,0.39,0.37,0.99
xcsoar.csv,0.65,0.29,0.94,0.45,0.56,0.4,0.18,0.42,0.54,0.76,0.34,0.6
