,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.26,0.09,0.25,0.21,0.23,0.59,0.02,0.04,0.11,0.26,0.06,0.16,0.21
bdbbasic.csv,0.65,0.27,0.5,0.49,0.27,0.7,0.04,0.06,0.74,0.89,0.0,0.47,0.48
echongl.csv,0.48,0.18,0.75,0.54,0.73,0.59,0.1,0.26,0.79,0.84,0.34,0.42,0.48
etherboot.csv,0.0,0.41,0.0,0.0,0.55,0.03,0.0,0.58,0.47,0.0,0.02,0.89,0.02
freebios.csv,0.48,0.23,0.25,0.59,0.36,0.11,0.8,0.4,0.53,0.45,0.4,0.53,0.47
gebr.csv,0.94,1.0,0.56,0.95,0.91,1.0,1.0,0.66,1.0,0.97,0.98,0.95,0.94
gnukeda.csv,0.94,0.32,0.38,0.69,0.64,0.59,0.22,0.37,0.11,0.28,0.32,0.21,0.94
google-gears.csv,0.84,0.77,0.75,0.36,0.77,1.0,0.59,0.91,1.0,0.98,0.98,0.63,0.74
jnode.csv,0.06,0.41,0.81,0.44,0.05,0.0,0.18,0.41,0.21,0.11,0.04,0.11,0.15
openmeetings.csv,0.61,0.95,0.81,0.23,0.82,0.65,0.08,0.42,0.37,0.71,0.7,0.53,0.37
pgui.csv,0.58,0.95,0.0,0.72,0.86,0.81,0.14,0.83,0.84,0.02,0.7,0.89,0.68
tradelink.csv,0.19,0.5,0.69,0.38,0.5,0.68,0.51,0.61,0.58,0.53,0.68,0.63,0.26
wxcrp.csv,0.48,0.77,1.0,0.62,1.0,0.78,0.57,0.8,0.79,0.89,0.91,0.79,0.58
