,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.0,0.0,7.0,2.0
n2cms.csv,0.0,5.0,2.0,6.0
nassp.csv,0.0,3.0,4.0,0.0
nug.csv,4.0,7.0,0.0,7.0
