,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.24,0.95,0.15,0.18,0.05,0.0,0.32,0.33,0.0,0.12,0.41
avisynth2.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
coot.csv,0.34,0.28,0.34,0.82,0.15,0.33,0.24,0.44,0.75,0.98,0.31
dsworkbench.csv,0.98,0.48,0.22,0.12,0.1,0.67,0.56,0.15,0.12,0.08,0.31
freelords.csv,0.84,0.47,0.95,0.65,0.55,0.33,0.45,0.6,0.25,0.42,0.48
gephex.csv,0.64,0.67,0.32,0.53,0.45,0.0,0.99,0.39,0.38,0.5,0.62
jas.csv,0.12,0.02,0.13,0.06,0.2,0.0,0.01,0.08,0.88,0.0,0.0
jpaul.csv,0.5,0.18,0.13,1.0,0.1,0.0,0.13,0.16,0.0,0.1,0.24
ngl.csv,0.5,0.48,0.59,0.47,0.25,0.33,0.31,0.99,0.62,0.78,0.55
scenemonitor.csv,0.64,0.55,0.54,0.82,1.0,0.67,0.69,0.77,0.38,0.88,0.59
synecdoche.csv,0.28,0.47,0.24,0.18,0.2,0.0,0.32,0.34,0.25,0.12,0.93
