,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.36,0.97,0.26,0.29,0.09,0.0,0.45,0.37,0.0,0.19,0.45
avisynth2.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
coot.csv,0.49,0.36,0.49,0.58,0.18,0.06,0.34,0.52,0.12,0.99,0.3
dsworkbench.csv,0.98,0.52,0.35,0.14,0.15,0.13,0.6,0.2,0.07,0.12,0.34
freelords.csv,0.81,0.5,0.96,0.44,0.42,0.04,0.52,0.63,0.06,0.46,0.47
gephex.csv,0.71,0.66,0.47,0.47,0.49,0.0,0.99,0.42,0.1,0.51,0.47
jas.csv,0.21,0.03,0.22,0.11,0.27,0.0,0.03,0.14,0.93,0.0,0.0
jpaul.csv,0.62,0.3,0.22,1.0,0.17,0.0,0.22,0.22,0.0,0.16,0.34
ngl.csv,0.61,0.52,0.67,0.41,0.29,0.05,0.39,0.99,0.13,0.65,0.48
scenemonitor.csv,0.71,0.53,0.61,0.44,0.98,0.1,0.67,0.63,0.08,0.68,0.45
synecdoche.csv,0.44,0.57,0.38,0.27,0.29,0.0,0.45,0.4,0.11,0.21,0.96
