,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,xcf.csv,web-cat.csv
cleartk.csv,0.03,0.78,0.47,1.0,0.38,0.38,0.71,0.74,0.49,0.29,0.08,0.94,0.11,0.74,0.45,0.48,0.24
encog-cs.csv,0.02,0.88,0.41,0.73,0.45,0.42,0.74,0.79,0.99,0.26,0.07,0.91,0.04,0.61,0.46,0.59,0.49
extprosys.csv,0.03,0.81,0.97,0.86,0.42,0.43,0.8,0.88,0.48,0.33,0.03,0.81,0.1,0.73,0.42,0.54,0.49
ibatisdb.csv,0.0,0.18,0.08,0.16,0.23,0.36,0.33,0.42,0.13,0.26,0.07,0.2,0.0,0.16,1.0,0.51,0.58
intact.csv,0.0,0.72,0.05,0.47,0.35,0.98,0.77,0.56,0.39,0.19,0.06,0.32,0.0,0.21,0.14,0.55,0.38
japano.csv,0.03,0.84,0.45,0.74,0.35,0.37,0.83,1.0,0.49,0.3,0.05,0.96,0.08,0.8,0.42,0.61,0.48
lockss.csv,0.09,0.08,0.1,0.07,0.15,0.09,0.13,0.11,0.34,0.95,0.05,0.3,0.0,0.07,0.08,0.16,0.0
ofbiz.csv,0.0,0.41,0.16,0.13,0.31,0.29,0.0,0.39,0.3,0.27,0.11,0.14,0.0,1.0,0.37,0.29,0.44
officefloor.csv,0.0,0.66,0.43,0.88,0.31,0.42,0.79,0.9,0.12,0.21,0.91,0.91,0.11,0.21,0.39,0.65,0.56
opennms.csv,0.0,0.39,0.29,0.26,1.0,0.22,0.6,0.21,0.23,0.27,0.04,0.57,0.0,0.24,0.13,0.21,0.21
papertoolkit.csv,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
rohxel.csv,0.02,0.75,0.28,0.85,0.35,0.48,1.0,0.77,0.56,0.32,0.06,0.7,0.08,0.64,0.46,0.69,0.5
sevenupdate.csv,0.02,1.0,0.44,0.93,0.37,0.43,0.59,0.93,0.5,0.38,0.05,1.0,0.05,0.73,0.4,0.59,0.49
web-cat.csv,0.0,0.31,0.28,0.59,0.28,0.37,0.62,0.48,0.18,0.04,0.01,0.54,0.0,0.22,0.11,0.31,0.97
xcf.csv,0.0,0.57,0.32,0.42,0.37,0.44,0.83,0.62,0.48,0.35,0.09,0.76,0.11,0.63,0.61,0.98,0.48
