,awemud.csv,tzod.csv,freebios.csv,k3b.csv,quarkplusplus.csv,powerfolder.csv,loki-lib.csv
awemud.csv,0.68,0.58,0.24,0.56,0.42,0.8,0.52
freebios.csv,0.49,0.38,0.72,0.45,0.42,0.0,0.58
k3b.csv,0.27,0.33,0.36,0.69,0.51,0.68,0.37
loki-lib.csv,0.49,0.59,0.48,0.43,0.59,0.45,0.68
powerfolder.csv,0.53,0.3,0.05,0.58,0.46,0.98,0.25
quarkplusplus.csv,0.27,0.34,0.0,0.38,0.63,0.92,0.35
tzod.csv,0.32,0.73,0.45,0.4,0.1,0.0,0.28
