,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,fityk.csv,ondex.csv,poormans.csv,fleet-simulator.csv,hibernate.csv,ninject.csv
dspace-gsoc.csv,0.94,0.44,0.57,0.48,0.52,0.94,0.37,0.36,0.53,0.77,0.93,0.65,0.91,0.44,0.57,0.4,0.6,0.5
fbmanager.csv,0.54,0.6,0.48,0.48,0.5,0.57,0.56,0.5,0.59,0.98,0.59,0.61,0.46,0.37,0.39,0.56,0.54,0.56
fido.csv,0.0,0.5,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.5,0.75,0.8,0.0,0.0,0.0,0.0,0.67,0.0
fityk.csv,0.47,0.41,0.4,0.37,0.52,0.49,0.39,0.41,0.46,0.7,0.55,0.51,0.43,0.38,0.5,0.36,0.5,0.6
fleet-simulator.csv,0.43,0.28,0.35,0.33,0.4,0.4,0.29,0.39,0.32,0.27,0.31,0.43,0.34,0.3,0.4,0.3,0.38,0.38
google-caja.csv,0.48,0.31,0.38,0.35,0.46,0.45,0.31,0.37,0.35,0.58,0.39,0.49,0.35,0.31,0.45,0.29,0.44,0.47
hibernate.csv,0.94,0.54,0.9,0.62,0.67,0.7,0.5,0.54,0.57,0.82,0.88,0.76,0.88,0.4,0.59,0.8,0.75,0.62
itext.csv,0.68,0.41,0.52,0.6,0.46,0.54,0.53,0.45,0.51,0.6,0.53,0.49,0.46,0.37,0.51,0.4,0.54,0.67
k3b.csv,0.5,0.31,0.4,0.47,0.41,0.44,0.35,0.38,0.49,0.31,0.61,0.54,0.47,0.38,0.45,0.39,0.42,0.75
megameknet.csv,0.68,0.35,0.73,0.52,0.67,0.64,0.65,0.47,0.55,0.64,0.57,0.72,0.53,0.41,0.62,0.54,0.74,0.71
myfaces.csv,0.7,0.56,0.8,0.62,0.98,0.6,0.8,0.56,0.85,0.97,0.4,0.94,0.89,0.65,0.97,0.53,0.64,0.88
ninject.csv,0.93,0.88,0.83,0.88,0.89,0.88,0.5,0.57,0.95,0.97,0.75,0.79,0.82,0.95,0.93,0.88,0.89,0.8
ondex.csv,0.72,0.65,0.8,0.95,0.7,0.86,0.75,0.53,0.63,0.77,0.49,0.86,0.94,0.97,0.95,0.45,0.67,0.93
paintown.csv,0.52,0.62,0.48,0.45,0.52,0.44,0.55,0.71,0.5,0.45,0.39,0.54,0.42,0.43,0.59,0.43,0.51,0.56
poormans.csv,0.74,0.53,0.83,0.59,0.63,0.81,0.62,0.46,0.65,0.66,0.88,0.62,0.75,0.83,0.71,0.53,0.65,0.86
powerfolder.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.91,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67
smartgwt.csv,0.9,0.35,0.89,0.5,0.68,0.7,0.65,0.58,0.81,0.57,0.92,0.65,0.92,0.96,0.88,0.76,0.65,0.79
triplea.csv,0.57,0.41,0.67,0.42,0.52,0.47,0.47,0.5,0.65,0.75,0.53,0.52,0.83,0.63,0.55,0.45,0.59,0.85
