,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,fityk.csv,ondex.csv,poormans.csv,fleet-simulator.csv,hibernate.csv,ninject.csv
dspace-gsoc.csv,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,36.0,7.0,106.0,7.0,1.0,0.0,2.0,0.0,4.0,18.0
fbmanager.csv,6.0,2.0,0.0,0.0,12.0,0.0,1.0,0.0,28.0,17.0,27.0,9.0,2.0,13.0,10.0,0.0,8.0,14.0
fido.csv,140.0,52.0,64.0,0.0,2.0,81.0,0.0,63.0,125.0,387.0,0.0,306.0,65.0,195.0,161.0,61.0,0.0,59.0
fityk.csv,1.0,2.0,0.0,4.0,25.0,0.0,1.0,5.0,51.0,2.0,28.0,4.0,0.0,0.0,28.0,3.0,12.0,10.0
fleet-simulator.csv,3.0,0.0,2.0,0.0,15.0,0.0,1.0,3.0,80.0,0.0,19.0,2.0,0.0,30.0,16.0,0.0,10.0,13.0
google-caja.csv,7.0,1.0,4.0,0.0,32.0,0.0,1.0,1.0,81.0,18.0,21.0,5.0,0.0,1.0,20.0,2.0,11.0,24.0
hibernate.csv,3.0,2.0,2.0,2.0,11.0,3.0,0.0,2.0,38.0,18.0,5.0,7.0,0.0,0.0,4.0,2.0,0.0,19.0
itext.csv,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,26.0,11.0,25.0,1.0,1.0,2.0,6.0,0.0,1.0,11.0
k3b.csv,8.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,21.0,10.0,20.0,7.0,0.0,6.0,5.0,0.0,9.0,6.0
megameknet.csv,6.0,1.0,0.0,6.0,39.0,0.0,0.0,8.0,41.0,1.0,29.0,0.0,0.0,1.0,20.0,2.0,26.0,17.0
myfaces.csv,3.0,2.0,1.0,1.0,0.0,0.0,1.0,7.0,36.0,10.0,13.0,3.0,0.0,1.0,24.0,2.0,11.0,14.0
ninject.csv,0.0,0.0,0.0,0.0,9.0,0.0,1.0,2.0,6.0,1.0,8.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0
ondex.csv,5.0,1.0,1.0,2.0,20.0,3.0,3.0,6.0,52.0,18.0,13.0,6.0,0.0,0.0,11.0,2.0,38.0,13.0
paintown.csv,0.0,2.0,0.0,0.0,18.0,2.0,0.0,2.0,41.0,0.0,11.0,8.0,0.0,2.0,13.0,2.0,11.0,21.0
poormans.csv,9.0,3.0,8.0,0.0,12.0,1.0,0.0,0.0,29.0,3.0,5.0,13.0,4.0,1.0,0.0,0.0,1.0,5.0
powerfolder.csv,140.0,52.0,64.0,104.0,0.0,81.0,0.0,63.0,0.0,0.0,106.0,306.0,65.0,195.0,161.0,61.0,561.0,1.0
smartgwt.csv,1.0,0.0,1.0,0.0,17.0,0.0,0.0,2.0,11.0,0.0,2.0,0.0,2.0,0.0,14.0,1.0,12.0,22.0
triplea.csv,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,9.0,2.0,17.0,8.0,1.0,1.0,7.0,0.0,3.0,7.0
