,openefm.csv,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv
ambulant.csv,0.83,0.87,0.76,0.69,0.71,0.41
ingex.csv,0.61,0.48,0.59,0.58,0.52,0.63
jgnash.csv,0.53,0.39,0.59,0.66,0.64,0.62
mp-rechnungs-und-kundenverwaltung.csv,0.65,0.6,0.75,0.56,0.48,0.68
openefm.csv,0.44,0.62,0.8,0.69,0.83,0.68
yarp0.csv,0.67,0.85,0.39,0.76,0.61,0.67
