,openefm.csv,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv
ambulant.csv,0.52,0.58,0.57,0.66,0.4,0.6
ingex.csv,0.5,0.41,0.45,0.38,0.44,0.49
jgnash.csv,0.62,0.71,0.4,0.63,0.38,0.49
mp-rechnungs-und-kundenverwaltung.csv,0.59,0.74,0.8,0.43,0.36,0.52
openefm.csv,0.46,0.56,0.48,0.65,0.5,0.62
yarp0.csv,0.45,0.95,0.5,0.34,0.35,0.5
