,openefm.csv,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv
ambulant.csv,0.28,0.11,0.27,0.34,0.38,0.64
ingex.csv,0.44,0.24,0.4,0.39,0.5,0.49
jgnash.csv,0.53,0.42,0.37,0.39,0.42,0.44
mp-rechnungs-und-kundenverwaltung.csv,0.45,0.26,0.8,0.41,0.55,0.56
openefm.csv,0.54,0.18,0.24,0.35,0.28,0.54
yarp0.csv,0.36,0.18,0.55,0.33,0.43,0.41
