,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.31,0.61,0.47,0.55,0.67,0.29,0.45,0.36,0.61,0.37
cities3d.csv,0.0,0.61,0.28,0.46,0.21,0.29,0.43,0.0,0.37,0.4
firebird.csv,0.26,0.6,0.6,0.56,0.65,0.2,0.39,0.35,0.56,0.39
hydrogen.csv,0.27,0.63,0.69,0.53,0.65,0.16,0.57,0.0,0.57,0.34
lphant.csv,0.36,0.65,0.6,0.53,0.65,0.29,0.44,0.27,0.67,0.37
open-ms.csv,0.27,0.7,0.66,0.45,0.29,0.17,0.51,0.42,0.51,0.34
qgo.csv,0.29,0.87,0.66,0.58,0.67,0.17,0.41,0.33,0.56,0.36
rhex.csv,0.44,0.61,0.4,0.35,0.43,0.21,0.49,0.21,0.09,0.3
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0
yield.csv,0.21,0.72,0.66,0.54,0.74,0.16,0.31,0.38,0.6,0.35
