,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.29,0.88,0.81,0.51,0.87,0.18,0.36,0.24,0.5,0.3
cities3d.csv,0.0,0.5,0.78,0.38,0.67,0.18,0.38,0.0,1.0,0.26
firebird.csv,0.19,0.6,0.66,0.49,0.74,0.11,0.27,0.21,0.41,0.3
hydrogen.csv,0.16,0.46,0.52,0.36,0.48,0.09,0.43,0.0,0.4,0.2
lphant.csv,0.22,0.62,0.6,0.45,0.57,0.18,0.32,0.2,0.7,0.25
open-ms.csv,0.17,0.61,0.56,0.39,0.85,0.09,0.43,0.29,0.69,0.26
qgo.csv,0.17,0.84,0.54,0.48,0.62,0.09,0.27,0.21,0.4,0.23
rhex.csv,0.31,0.52,0.56,0.39,0.86,0.14,0.43,0.22,1.0,0.22
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
yield.csv,0.13,0.62,0.63,0.37,0.78,0.09,0.19,0.23,0.44,0.23
