,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.12,0.06,0.08,0.31,0.07,0.33,0.18,0.6,0.52,0.29
cities3d.csv,0.0,0.66,0.05,0.55,0.06,0.28,0.13,0.0,0.0,0.64
firebird.csv,0.26,0.34,0.31,0.39,0.19,0.58,0.3,0.86,0.82,0.33
hydrogen.csv,0.8,1.0,1.0,1.0,1.0,1.0,0.17,0.0,1.0,1.0
lphant.csv,0.47,0.34,0.44,0.43,0.51,0.28,0.26,0.37,0.18,0.57
open-ms.csv,0.48,0.46,0.69,0.46,0.03,0.73,0.13,0.47,0.12,0.35
qgo.csv,0.65,0.14,0.77,0.46,0.4,0.83,0.35,0.6,0.91,0.7
rhex.csv,0.25,0.57,0.26,0.28,0.04,0.27,0.12,0.16,0.0,0.4
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0
yield.csv,0.58,0.46,0.46,0.88,0.19,1.0,0.59,0.77,0.76,0.67
