,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv
applet2app.csv,0.86,0.62,0.7,0.51,0.56,0.55,0.5,0.35,0.35,0.62
cities3d.csv,0.0,0.37,0.97,0.54,0.92,0.6,0.57,0.0,0.8,0.42
firebird.csv,0.62,0.57,0.45,0.51,0.48,0.36,0.56,0.36,0.35,0.59
hydrogen.csv,0.43,0.37,0.39,0.42,0.44,0.34,0.57,0.0,0.35,0.39
lphant.csv,0.37,0.38,0.35,0.38,0.38,0.51,0.45,0.4,0.45,0.38
open-ms.csv,0.49,0.34,0.35,0.47,0.92,0.34,0.57,0.43,0.69,0.55
qgo.csv,0.38,0.41,0.33,0.39,0.39,0.3,0.42,0.33,0.34,0.38
rhex.csv,0.48,0.36,0.54,0.57,0.71,0.61,0.57,0.67,0.0,0.5
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0
yield.csv,0.43,0.33,0.36,0.43,0.48,0.34,0.53,0.37,0.33,0.42
