,arcallians.csv,aztec.csv,synergyspace.csv,qmmp.csv,xtreemfs.csv,mplayer-ce.csv
arcallians.csv,0.74,0.05,0.64,0.31,0.82,0.52
aztec.csv,0.62,0.79,0.14,0.23,0.79,0.21
mplayer-ce.csv,0.39,0.39,0.67,0.54,0.61,0.57
qmmp.csv,0.38,0.57,0.54,0.7,0.71,0.39
synergyspace.csv,0.29,0.29,0.64,0.07,0.44,0.41
xtreemfs.csv,0.36,0.74,0.49,0.31,0.84,0.09
