,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firebird.csv,0.39,0.43,0.37,0.42,0.41,0.37,0.37,0.4,0.39,0.29
fmri-dmt.csv,0.0,0.45,0.89,0.0,0.88,0.0,0.93,0.4,0.0,0.8
htmlunit.csv,0.0,0.43,0.37,0.0,0.41,0.7,0.37,0.4,0.38,0.29
monetdb.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ontomorphtab.csv,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
smarttag.csv,0.0,0.85,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0
taokgame.csv,0.0,0.75,0.89,0.0,0.0,0.0,0.7,0.51,0.0,0.5
webdriver.csv,0.0,0.43,0.0,0.0,0.0,0.0,0.49,0.4,0.0,0.0
xbplayer.csv,0.0,0.43,0.45,0.0,0.62,0.0,0.36,0.4,0.0,0.26
