,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firebird.csv,0.69,0.77,0.2,0.53,0.48,0.48,0.62,0.42,0.49,0.16
fmri-dmt.csv,0.0,0.77,0.0,0.0,0.04,0.0,0.27,0.42,0.0,0.73
htmlunit.csv,0.0,0.77,0.2,0.0,0.48,0.58,0.62,0.42,0.49,0.16
monetdb.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ontomorphtab.csv,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0
smarttag.csv,0.0,0.37,0.0,0.0,0.0,0.0,0.12,0.46,0.0,0.0
taokgame.csv,0.0,0.51,0.84,0.0,0.0,0.0,0.56,0.35,0.0,0.0
webdriver.csv,0.0,0.77,0.0,0.0,0.0,0.0,0.8,0.42,0.0,0.0
xbplayer.csv,0.0,0.77,0.23,0.0,0.62,0.0,0.59,0.42,0.0,0.16
