,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,2.0,10.0,1.0,5.0,3.0,0.0,1.0,8.0,102.0,18.0,14.0,0.0
gamestone.csv,0.0,1.0,2.0,0.0,16.0,6.0,0.0,9.0,212.0,0.0,64.0,0.0
gbif-providertoolkit.csv,0.0,59.0,1.0,0.0,0.0,0.0,1.0,10.0,20.0,7.0,4.0,0.0
heekscad.csv,0.0,3.0,0.0,3.0,0.0,0.0,1.0,10.0,13.0,0.0,7.0,0.0
igarden.csv,0.0,11.0,1.0,0.0,0.0,0.0,0.0,7.0,92.0,4.0,4.0,0.0
levent.csv,4.0,35.0,1.0,4.0,1.0,0.0,1.0,24.0,52.0,1.0,3.0,0.0
lportal.csv,123.0,59.0,126.0,102.0,80.0,71.0,111.0,155.0,3583.0,158.0,64.0,57.0
openmsx.csv,4.0,9.0,1.0,1.0,2.0,0.0,0.0,7.0,3583.0,0.0,64.0,0.0
owlapi.csv,2.0,59.0,1.0,102.0,3.0,0.0,1.0,1.0,5.0,1.0,8.0,0.0
pnotepad.csv,2.0,21.0,0.0,3.0,4.0,0.0,1.0,36.0,166.0,4.0,17.0,0.0
quark.csv,0.0,0.0,1.0,0.0,0.0,71.0,1.0,7.0,12.0,0.0,0.0,0.0
xcsoar.csv,2.0,5.0,4.0,3.0,5.0,0.0,2.0,13.0,64.0,0.0,17.0,0.0
