,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.49,0.23,0.52,0.28,0.61,0.26,0.14,0.34,0.42,0.5,0.73,0.4
gamestone.csv,0.04,0.04,0.11,0.24,0.27,0.35,0.04,0.15,0.11,0.16,0.08,0.0
gbif-providertoolkit.csv,0.26,0.17,0.06,0.0,0.06,0.22,0.18,0.2,0.22,0.15,0.08,0.4
heekscad.csv,0.28,0.27,0.35,0.51,0.6,0.61,0.76,0.37,0.48,0.48,0.67,0.6
igarden.csv,0.06,0.27,0.01,0.12,0.15,0.09,0.14,0.08,0.42,0.19,0.21,0.2
levent.csv,0.91,0.83,0.77,0.74,0.73,0.48,0.78,0.69,0.18,0.49,0.5,0.9
lportal.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openmsx.csv,0.77,0.77,0.08,0.19,0.55,0.48,0.58,0.17,0.0,0.13,0.02,0.3
owlapi.csv,0.47,0.17,0.23,0.03,0.31,0.22,0.34,0.02,0.09,0.57,0.33,0.3
pnotepad.csv,0.3,0.67,0.77,0.97,0.94,0.65,0.62,0.86,0.99,0.87,1.0,0.5
quark.csv,0.13,0.02,0.03,0.0,0.04,0.0,0.01,0.06,0.05,0.01,0.04,0.2
xcsoar.csv,0.3,0.13,0.24,0.39,0.37,0.61,0.39,0.38,0.55,0.55,1.0,0.0
