,dxengine.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,haggle.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,wsmt.csv,nunit.csv
dxengine.csv,0.59,0.26,0.07,0.02,0.01,0.71,0.31,0.01,0.08,0.26,0.11,0.62,0.03,0.56,0.13
e-bio-flow.csv,0.33,0.15,0.22,0.16,0.01,0.83,0.59,0.18,0.5,0.15,0.08,0.83,0.14,0.33,0.3
haggle.csv,0.54,0.31,0.24,0.35,0.04,0.74,0.54,0.1,0.38,1.0,0.0,1.0,0.0,0.55,0.39
hannosset.csv,0.29,0.08,0.18,0.04,0.09,0.78,0.41,0.0,0.07,0.4,0.24,0.46,0.0,0.0,0.13
jas.csv,0.45,0.3,0.07,0.17,0.01,0.74,0.34,0.03,0.29,0.21,0.03,0.64,0.27,0.62,0.24
jbpm.csv,0.5,0.43,0.0,0.45,0.0,1.0,0.36,0.0,0.1,0.0,0.0,1.0,0.12,0.56,0.8
jgossipforum.csv,0.43,0.33,0.29,0.1,0.0,0.78,0.42,0.24,0.67,0.27,0.0,0.71,0.0,0.39,0.36
joustsim.csv,0.4,0.22,0.14,0.23,0.02,0.68,0.36,0.06,0.56,0.2,0.09,0.64,0.12,0.52,0.24
log4net.csv,0.43,0.42,0.23,0.16,0.17,0.47,0.41,0.0,0.31,0.33,0.09,0.52,0.0,0.28,0.24
madman.csv,0.5,0.22,0.1,0.05,0.03,0.85,0.4,0.01,0.09,0.38,0.06,0.61,0.02,0.58,0.14
ngl.csv,0.36,0.33,0.16,0.15,0.02,0.65,0.44,0.03,0.29,0.18,0.07,0.7,0.08,0.56,0.23
nunit.csv,0.22,0.29,0.21,0.14,0.03,0.61,0.32,0.05,0.07,0.06,0.05,0.46,0.03,0.66,0.42
piccolo2d.csv,0.5,0.37,0.35,0.16,0.11,0.77,0.47,0.0,0.26,0.32,0.07,0.7,0.0,0.36,0.4
sblim.csv,0.3,0.49,0.35,0.43,0.0,0.71,0.58,0.0,0.4,0.16,0.08,0.61,0.0,0.35,0.38
wsmt.csv,0.6,0.32,0.0,0.19,0.06,0.5,0.38,0.0,0.03,0.0,0.0,0.73,0.05,0.82,0.18
