,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,873.0,221.5,53.0,191.0,173.0,90.5,54.5,98.5,188.0,99.0
h2database.csv,291.0,585.5,204.5,196.0,99.0,1481.0,97.5,196.0,188.0,99.0
hannosset.csv,811.5,98.5,177.0,845.0,99.0,445.5,91.5,99.0,177.0,190.0
jaql.csv,966.0,683.0,185.0,295.0,99.0,391.0,98.5,95.5,85.5,99.0
megameknet.csv,2227.5,1268.5,381.0,296.0,99.0,2070.5,99.0,99.0,867.0,98.5
ngl.csv,2326.5,1078.0,478.5,395.0,99.0,2776.5,98.5,98.5,476.5,99.0
qedo.csv,3275.0,197.5,90.5,675.5,938.0,0.0,98.5,96.5,858.0,98.5
qmmp.csv,1746.0,592.5,378.0,394.0,99.0,2260.0,96.5,99.0,282.5,99.0
raven-monitoring.csv,2030.0,977.0,190.0,196.0,97.5,588.0,99.0,99.0,954.5,98.5
v8.csv,3011.5,483.5,576.0,286.5,97.5,1106.0,99.0,99.0,1016.5,99.0
