,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.61,0.94,0.67,0.96,0.93,0.0,0.67,0.95,0.86,0.92
h2database.csv,0.63,0.6,0.9,0.4,0.83,0.42,0.97,0.52,0.76,0.58
hannosset.csv,0.97,0.92,0.92,0.73,0.89,0.82,0.73,0.99,0.92,0.66
jaql.csv,0.44,0.42,0.68,0.47,0.67,0.87,0.46,0.49,0.9,0.62
megameknet.csv,0.41,0.39,0.5,0.41,0.49,0.47,0.41,0.59,0.51,0.55
ngl.csv,0.38,0.39,0.47,0.36,0.44,0.33,0.45,0.48,0.45,0.38
qedo.csv,0.82,0.97,0.9,0.97,0.99,0.0,0.98,0.98,0.59,0.78
qmmp.csv,0.4,0.37,0.47,0.44,0.67,0.37,0.48,0.53,0.55,0.39
raven-monitoring.csv,0.5,0.48,0.58,0.61,0.61,0.86,0.72,0.83,0.61,0.74
v8.csv,0.99,0.63,0.41,0.47,0.54,0.62,0.47,0.62,0.84,0.57
