,bacula.csv,fltk.csv,pfaedit.csv,patterntesting.csv,gzigzag.csv,enlightenment.csv,blue-c.csv,aufs.csv,sylpheed-claws.csv,ogrehg.csv,genecys.csv,freewrl.csv,roller.csv,pgui.csv,jparsec.csv,xbg.csv,lportal.csv,genoviz.csv
aufs.csv,0.76,0.63,0.78,0.66,0.66,0.65,0.64,0.11,0.66,0.72,0.67,0.72,0.44,0.7,0.79,0.88,0.44,0.57
bacula.csv,0.03,0.61,0.67,0.54,0.65,0.64,0.56,0.7,0.62,0.63,0.8,0.61,0.78,0.66,0.54,0.63,0.76,0.85
blue-c.csv,0.63,0.7,0.54,0.66,0.7,0.59,0.04,0.74,0.87,0.62,0.57,0.69,0.5,0.68,0.75,0.72,0.81,0.65
enlightenment.csv,0.58,0.45,0.64,0.89,0.52,0.04,0.55,0.6,0.66,0.59,0.45,0.68,0.59,0.63,0.76,0.51,0.66,0.7
fltk.csv,0.54,0.11,0.68,0.84,0.57,0.62,0.7,0.62,0.64,0.58,0.58,0.85,0.79,0.48,0.65,0.44,0.74,0.61
freewrl.csv,0.77,0.74,0.58,0.75,0.59,0.82,0.9,0.88,0.69,0.75,0.74,0.07,0.87,0.66,0.76,0.69,0.76,0.66
genecys.csv,0.9,0.94,0.8,0.83,0.91,0.78,0.96,0.72,0.76,0.89,0.02,0.76,0.98,0.94,0.96,0.8,0.98,0.91
genoviz.csv,0.9,0.89,0.57,0.93,0.9,0.9,0.87,0.86,0.92,0.86,0.73,1.0,0.85,0.92,0.98,1.0,0.93,0.0
gzigzag.csv,0.74,0.66,0.94,0.73,0.07,0.61,0.74,0.86,0.88,0.77,0.59,0.79,0.77,0.72,0.76,0.9,0.61,0.43
jparsec.csv,0.98,0.89,1.0,0.56,0.63,0.92,0.9,1.0,0.9,0.79,0.68,0.86,0.73,0.93,0.09,0.44,0.51,0.87
lportal.csv,0.93,0.83,0.71,1.0,0.79,0.84,0.89,0.98,0.93,0.85,0.98,0.78,0.9,0.86,1.0,1.01,0.15,0.71
ogrehg.csv,0.8,0.59,0.87,0.74,0.72,0.6,0.82,0.63,0.66,0.08,0.7,0.65,0.44,0.73,0.81,0.66,0.71,0.55
patterntesting.csv,0.58,0.62,0.5,0.04,0.71,0.59,0.47,0.57,0.56,0.58,0.68,0.73,0.52,0.52,0.52,0.69,0.61,0.53
pfaedit.csv,0.69,0.82,0.06,0.58,0.64,0.65,0.8,0.49,0.58,0.58,0.72,0.64,0.57,0.47,0.7,0.55,0.52,0.8
pgui.csv,0.63,0.84,0.65,0.87,0.59,0.67,0.6,0.75,0.9,0.75,0.68,0.75,0.75,0.09,0.89,0.89,0.66,0.68
roller.csv,0.73,0.6,0.68,0.62,0.63,0.58,0.64,0.88,0.59,0.66,0.73,0.93,0.01,0.68,0.73,0.44,0.51,0.65
sylpheed-claws.csv,0.71,0.63,0.62,0.88,0.6,0.65,0.64,0.61,0.03,0.71,0.6,0.66,0.65,0.64,0.55,0.8,0.49,0.56
xbg.csv,0.79,0.9,0.84,0.9,0.9,0.92,1.0,0.59,0.79,0.88,0.43,0.89,0.87,0.87,1.0,0.0,0.86,0.63
