,openefm.csv,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv
ambulant.csv,0.75,0.87,0.68,0.67,0.62,0.23
ingex.csv,0.78,0.66,0.29,0.58,0.32,0.14
jgnash.csv,0.46,0.22,0.47,0.31,0.56,0.36
mp-rechnungs-und-kundenverwaltung.csv,0.34,0.3,0.03,0.35,0.3,0.15
openefm.csv,0.3,0.58,0.29,0.66,0.38,0.3
yarp0.csv,0.55,0.14,0.24,0.79,0.62,0.73
