,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.44,0.6,0.41,0.0,0.61,0.57,0.63,0.24,0.75,0.63
flylegacy.csv,0.58,0.05,0.0,0.3,0.54,0.15,0.68,0.3,0.48,0.02
ftm.csv,0.16,0.1,0.55,0.35,0.37,0.13,0.16,0.55,0.01,0.17
jcache.csv,0.09,0.0,0.23,0.22,0.34,0.22,0.08,0.39,0.27,0.0
lphant.csv,0.28,0.35,0.32,0.44,0.17,0.29,0.37,0.0,0.48,0.24
minig.csv,0.42,0.45,0.32,0.5,0.44,0.03,0.29,0.06,0.39,0.15
mob-sen-plat.csv,0.28,0.0,0.41,0.28,0.22,0.49,0.26,0.52,0.34,0.05
raygina.csv,0.0,0.15,0.55,0.33,0.24,0.32,0.37,0.45,0.32,0.05
upp-mirror.csv,0.47,0.05,0.36,0.36,0.02,0.05,0.66,0.15,0.17,0.02
yarp.csv,0.26,0.05,0.45,0.24,0.17,0.47,0.0,0.27,0.24,0.68
