,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,2.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,74.0
flylegacy.csv,6.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0
ftm.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
jcache.csv,0.0,0.0,1.0,6.0,4.0,2.0,2.0,4.0,1.0,0.0
lphant.csv,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0
minig.csv,0.0,7.0,0.0,6.0,1.0,0.0,1.0,1.0,0.0,1.0
mob-sen-plat.csv,1.0,0.0,1.0,26.0,5.0,5.0,1.0,5.0,2.0,1.0
raygina.csv,0.0,2.0,2.0,0.0,0.0,9.0,3.0,4.0,5.0,0.0
upp-mirror.csv,7.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0
yarp.csv,2.0,1.0,1.0,1.0,0.0,14.0,0.0,0.0,1.0,2.0
