,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.2,0.59,0.62,0.98,0.62,0.22,0.44,0.33,0.55,0.0
flylegacy.csv,0.48,0.3,0.99,0.25,0.7,0.34,0.52,0.51,0.57,0.33
ftm.csv,0.36,0.63,0.73,0.24,0.55,0.44,0.37,0.57,0.98,0.39
jcache.csv,0.24,0.06,0.28,0.22,0.29,0.27,0.07,0.48,0.43,1.0
lphant.csv,0.46,0.37,0.6,0.27,0.42,0.48,0.44,0.98,0.5,0.58
minig.csv,0.61,0.29,0.57,0.28,0.67,0.95,0.43,0.5,0.5,0.73
mob-sen-plat.csv,0.36,0.98,0.4,0.11,0.2,0.25,0.54,0.34,0.37,0.33
raygina.csv,0.98,0.15,0.57,0.22,0.34,0.4,0.27,0.43,0.4,0.56
upp-mirror.csv,0.45,0.16,0.69,0.32,0.98,0.25,0.41,0.58,0.4,0.21
yarp.csv,0.29,0.16,0.6,0.29,0.44,0.36,1.0,0.41,0.46,0.32
