,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.83,0.55,0.56,0.99,0.54,0.77,0.66,0.93,0.54,0.96
flylegacy.csv,0.44,0.86,0.39,0.62,0.49,0.88,0.57,0.57,0.57,0.88
ftm.csv,0.79,0.61,0.47,0.57,0.58,0.81,0.69,0.47,0.54,0.65
jcache.csv,0.88,0.0,0.94,0.83,0.85,0.89,0.75,0.46,0.51,0.44
lphant.csv,0.52,0.75,0.49,0.5,0.88,0.62,0.48,0.52,0.68,0.5
minig.csv,0.41,0.75,0.49,0.44,0.32,0.56,0.52,0.7,0.4,0.41
mob-sen-plat.csv,0.8,0.38,0.89,0.88,0.94,0.61,0.61,0.52,0.74,0.89
raygina.csv,0.58,0.83,0.57,0.62,0.76,0.7,0.5,0.48,0.73,0.69
upp-mirror.csv,0.45,0.75,0.47,0.58,0.46,0.91,0.61,0.62,0.77,0.8
yarp.csv,0.82,0.75,0.46,0.8,0.85,0.6,0.64,0.65,0.78,0.78
