,sauerbraten.csv,oppna-program-hsatools.csv,mpgravity.csv,gretl.csv,ogre.csv,yarp.csv,openmsx.csv,doomlegacy.csv,gmerlin.csv,illumination.csv,open-ms.csv,elateportal.csv,sandiaportals.csv,zemljanka.csv,nativeclient.csv,natpad.csv
doomlegacy.csv,0.3,0.59,0.47,0.49,0.0,0.0,0.41,0.74,0.29,0.54,0.63,0.09,0.49,0.27,0.46,0.54
elateportal.csv,0.0,0.42,0.67,0.65,0.4,0.35,0.45,0.56,0.6,0.49,0.53,0.96,0.54,0.52,0.29,0.54
gmerlin.csv,0.63,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.61,0.48,0.0,0.0,0.24,0.0,0.05,0.09
gretl.csv,0.4,0.73,0.46,0.72,0.0,0.28,0.5,0.58,0.48,0.49,0.47,0.57,0.72,0.65,0.55,0.63
illumination.csv,0.04,0.74,0.0,0.0,0.0,0.43,0.06,0.0,0.07,0.83,0.0,0.0,0.37,0.0,0.13,0.3
mpgravity.csv,0.17,0.17,0.7,0.55,0.0,0.0,0.52,0.58,0.56,0.43,0.59,0.51,0.56,0.01,0.69,0.68
nativeclient.csv,0.65,0.61,0.68,0.63,0.43,0.36,0.3,0.61,0.42,0.53,0.65,0.11,0.66,0.47,0.68,0.62
natpad.csv,0.3,0.22,0.1,0.69,0.0,0.55,0.47,0.55,0.59,0.59,0.57,0.49,0.68,0.35,0.4,0.74
ogre.csv,0.1,0.77,0.0,0.48,0.96,0.19,0.53,0.5,0.63,0.42,0.53,0.0,0.47,0.35,0.47,0.56
open-ms.csv,0.21,0.54,0.66,0.26,0.0,0.24,0.17,0.69,0.58,0.5,0.54,0.4,0.22,0.18,0.21,0.15
openmsx.csv,0.04,0.65,0.28,0.09,0.82,0.0,0.54,0.6,0.46,0.48,0.51,0.26,0.51,0.0,0.21,0.11
oppna-program-hsatools.csv,0.35,0.87,0.0,0.66,0.0,0.28,0.33,0.29,0.59,0.56,0.44,0.23,0.65,0.61,0.4,0.5
sandiaportals.csv,0.3,0.43,0.38,0.65,0.15,0.3,0.47,0.33,0.44,0.42,0.58,0.0,0.8,0.38,0.53,0.7
sauerbraten.csv,0.72,0.7,0.0,0.0,0.0,0.46,0.21,0.0,0.0,0.45,0.09,0.69,0.0,0.0,0.0,0.0
yarp.csv,0.06,0.56,0.0,0.02,0.16,0.59,0.11,0.29,0.0,0.58,0.34,0.02,0.0,0.01,0.19,0.0
zemljanka.csv,0.17,0.17,0.0,0.54,0.68,0.3,0.54,0.49,0.52,0.54,0.52,0.0,0.39,0.84,0.35,0.47
