,unladen-swallow.csv,flylegacy.csv,gotjava.csv,novembre.csv,k3d.csv,qtwin.csv,empserver.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,acdk.csv,galaxium.csv,auber.csv,cortex-vfx.csv,duplicati.csv,linux-ntfs.csv,growl-for-windows.csv,tweetsharp.csv,libarchive.csv
acdk.csv,1.0,1.0,490.0,0.0,1.0,73.0,0.0,9.0,0.0,4.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0
auber.csv,1.0,1.0,490.0,1.0,38.0,451.0,0.0,17.0,0.0,2.0,14.0,3.0,0.0,6.0,1.0,0.0,1.0,1.0,2.0
cortex-vfx.csv,18.0,0.0,490.0,0.0,0.0,259.0,1.0,4.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0
empserver.csv,2.0,0.0,490.0,5.0,23.0,918.0,0.0,1.0,0.0,3.0,15.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0
flylegacy.csv,2.0,0.0,490.0,6.0,11.0,707.0,0.0,15.0,1.0,4.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
galaxium.csv,4.0,0.0,35.0,5.0,9.0,2488.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0
growl-for-windows.csv,1.0,1.0,245.0,2.0,0.0,110.0,6.0,1.0,0.0,10.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
k3d.csv,29.0,0.0,490.0,1.0,0.0,169.0,3.0,7.0,0.0,4.0,367.0,1.0,5.0,0.0,0.0,2.0,53.0,0.0,1.0
libarchive.csv,29.0,0.0,228.0,0.0,39.0,290.0,0.0,2.0,0.0,7.0,13.0,10.0,1.0,10.0,0.0,1.0,3.0,0.0,0.0
linux-ntfs.csv,0.0,1.0,72.0,8.0,28.0,193.0,2.0,10.0,0.0,0.0,36.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0
m-a-d-n-e-s-s.csv,6.0,0.0,490.0,1.0,9.0,348.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0
novembre.csv,7.0,0.0,490.0,0.0,5.0,87.0,0.0,7.0,0.0,1.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0
qtwin.csv,2.0,84.0,490.0,54.0,205.0,0.0,68.0,74.0,51.0,84.0,367.0,121.0,121.0,355.0,58.0,54.0,53.0,56.0,116.0
st-filteredstatistics.csv,0.0,1.0,490.0,0.0,35.0,561.0,3.0,2.0,0.0,2.0,19.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0
tweetsharp.csv,3.0,0.0,490.0,7.0,0.0,1468.0,0.0,14.0,0.0,4.0,1.0,4.0,1.0,10.0,0.0,0.0,0.0,0.0,2.0
unladen-swallow.csv,0.0,2.0,490.0,3.0,0.0,806.0,7.0,16.0,1.0,2.0,5.0,6.0,7.0,0.0,0.0,2.0,1.0,0.0,13.0
wishmaster.csv,28.0,1.0,490.0,54.0,6.0,232.0,68.0,0.0,1.0,1.0,6.0,11.0,3.0,3.0,0.0,54.0,0.0,0.0,116.0
